r,t,y,NewCapacity
"REGION1","DEMAGRELCB02",2050,0
"REGION1","DEMTRAGSL",2020,155.131313131313
"REGION1","DEMTRAGSL",2021,152.414141414141
"REGION1","DEMTRAGSL",2022,149.69696969697
"REGION1","DEMTRAGSL",2023,146.828282828283
"REGION1","DEMTRAGSL",2024,144.171717171717
"REGION1","DEMTRAGSL",2025,141.676767676768
"REGION1","DEMTRAGSL",2026,139.454545454545
"REGION1","DEMTRAGSL",2027,137.363636363636
"REGION1","DEMTRAGSL",2028,135.161616161616
"REGION1","DEMTRAGSL",2029,132.737373737374
"REGION1","DEMTRAGSL",2030,130.30303030303
"REGION1","DEMTRAGSL",2031,127.717171717172
"REGION1","DEMTRAGSL",2032,125.111111111111
"REGION1","DEMTRAGSL",2033,122.131313131313
"REGION1","DEMTRAGSL",2034,118.949494949495
"REGION1","DEMTRAGSL",2035,115.616161616162
"REGION1","DEMTRAGSL",2036,112.141414141414
"REGION1","DEMTRAGSL",2037,108.575757575758
"REGION1","DEMTRAGSL",2038,104.929292929293
"REGION1","DEMTRAGSL",2039,101.232323232323
"REGION1","DEMTRAGSL",2040,97.5757575757576
"REGION1","DEMTRAGSL",2041,96.5262626262626
"REGION1","DEMTRAGSL",2042,93.5161616161616
"REGION1","DEMTRAGSL",2043,90.5070707070707
"REGION1","DEMTRAGSL",2044,87.4979797979798
"REGION1","DEMTRAGSL",2045,84.4888888888889
"REGION1","DEMTRAGSL",2046,81.479797979798
"REGION1","DEMTRAGSL",2047,78.4707070707071
"REGION1","DEMTRAGSL",2048,75.4606060606061
"REGION1","DEMTRAGSL",2049,72.4515151515151
"REGION1","DEMTRAGSL",2050,69.4424242424243
"REGION1","DEMTRADSL",2020,99.8080808080808
"REGION1","DEMTRADSL",2021,98.5656565656566
"REGION1","DEMTRADSL",2022,97.030303030303
"REGION1","DEMTRADSL",2023,95.7474747474748
"REGION1","DEMTRADSL",2024,94.7979797979798
"REGION1","DEMTRADSL",2025,94.3535353535353
"REGION1","DEMTRADSL",2026,94.1313131313131
"REGION1","DEMTRADSL",2027,94.010101010101
"REGION1","DEMTRADSL",2028,93.3838383838384
"REGION1","DEMTRADSL",2029,92.8181818181818
"REGION1","DEMTRADSL",2030,92.3939393939394
"REGION1","DEMTRADSL",2031,91.9191919191919
"REGION1","DEMTRADSL",2032,91.1010101010101
"REGION1","DEMTRADSL",2033,90.5252525252524
"REGION1","DEMTRADSL",2034,89.8585858585859
"REGION1","DEMTRADSL",2035,89.1818181818182
"REGION1","DEMTRADSL",2036,87.939393939394
"REGION1","DEMTRADSL",2037,87.3131313131313
"REGION1","DEMTRADSL",2038,86.7272727272727
"REGION1","DEMTRADSL",2039,86.1818181818182
"REGION1","DEMTRADSL",2040,85.7171717171717
"REGION1","DEMTRADSL",2041,85.0343434343434
"REGION1","DEMTRADSL",2042,84.3878787878788
"REGION1","DEMTRADSL",2043,83.7404040404041
"REGION1","DEMTRADSL",2044,83.0929292929293
"REGION1","DEMTRADSL",2045,82.4454545454545
"REGION1","DEMTRADSL",2046,81.7979797979798
"REGION1","DEMTRADSL",2047,81.150505050505
"REGION1","DEMTRADSL",2048,80.5030303030303
"REGION1","DEMTRADSL",2049,79.8565656565657
"REGION1","DEMTRADSL",2050,79.2090909090909
"REGION1","DEMTRAHFO",2020,10.7979797979798
"REGION1","DEMTRAHFO",2021,10.5555555555556
"REGION1","DEMTRAHFO",2022,10.3030303030303
"REGION1","DEMTRAHFO",2023,10.0606060606061
"REGION1","DEMTRAHFO",2024,9.84848484848485
"REGION1","DEMTRAHFO",2025,9.68686868686869
"REGION1","DEMTRAHFO",2026,9.54545454545455
"REGION1","DEMTRAHFO",2027,9.42424242424243
"REGION1","DEMTRAHFO",2028,9.29292929292929
"REGION1","DEMTRAHFO",2029,9.15151515151515
"REGION1","DEMTRAHFO",2030,9.02020202020202
"REGION1","DEMTRAHFO",2031,8.8989898989899
"REGION1","DEMTRAHFO",2032,8.80808080808081
"REGION1","DEMTRAHFO",2033,8.68686868686869
"REGION1","DEMTRAHFO",2034,8.57575757575757
"REGION1","DEMTRAHFO",2035,8.46464646464647
"REGION1","DEMTRAHFO",2036,8.37373737373737
"REGION1","DEMTRAHFO",2037,8.28282828282828
"REGION1","DEMTRAHFO",2038,8.2020202020202
"REGION1","DEMTRAHFO",2039,8.14141414141414
"REGION1","DEMTRAHFO",2040,8.09090909090909
"REGION1","DEMTRAHFO",2041,7.87777777777778
