r,t,y,CapitalInvestment
"REGION1","DEMAGRELCB02",2047,0
"REGION1","DEMAGRELCB02",2048,0
"REGION1","DEMAGRELCB02",2049,0
"REGION1","DEMAGRELCB02",2050,0
"REGION1","DEMTRAGSL",2020,1.55131313131313
"REGION1","DEMTRAGSL",2021,1.52414141414141
"REGION1","DEMTRAGSL",2022,1.4969696969697
"REGION1","DEMTRAGSL",2023,1.46828282828283
"REGION1","DEMTRAGSL",2024,1.44171717171717
"REGION1","DEMTRAGSL",2025,1.41676767676768
"REGION1","DEMTRAGSL",2026,1.39454545454545
"REGION1","DEMTRAGSL",2027,1.37363636363636
"REGION1","DEMTRAGSL",2028,1.35161616161616
"REGION1","DEMTRAGSL",2029,1.32737373737374
"REGION1","DEMTRAGSL",2030,1.3030303030303
"REGION1","DEMTRAGSL",2031,1.27717171717172
"REGION1","DEMTRAGSL",2032,1.25111111111111
"REGION1","DEMTRAGSL",2033,1.22131313131313
"REGION1","DEMTRAGSL",2034,1.18949494949495
"REGION1","DEMTRAGSL",2035,1.15616161616162
"REGION1","DEMTRAGSL",2036,1.12141414141414
"REGION1","DEMTRAGSL",2037,1.08575757575758
"REGION1","DEMTRAGSL",2038,1.04929292929293
"REGION1","DEMTRAGSL",2039,1.01232323232323
"REGION1","DEMTRAGSL",2040,0.975757575757576
"REGION1","DEMTRAGSL",2041,0.965262626262626
"REGION1","DEMTRAGSL",2042,0.935161616161616
"REGION1","DEMTRAGSL",2043,0.905070707070707
"REGION1","DEMTRAGSL",2044,0.874979797979798
"REGION1","DEMTRAGSL",2045,0.844888888888889
"REGION1","DEMTRAGSL",2046,0.81479797979798
"REGION1","DEMTRAGSL",2047,0.784707070707071
"REGION1","DEMTRAGSL",2048,0.754606060606061
"REGION1","DEMTRAGSL",2049,0.724515151515151
"REGION1","DEMTRAGSL",2050,0.694424242424242
"REGION1","DEMTRADSL",2020,0.998080808080808
"REGION1","DEMTRADSL",2021,0.985656565656566
"REGION1","DEMTRADSL",2022,0.97030303030303
"REGION1","DEMTRADSL",2023,0.957474747474748
"REGION1","DEMTRADSL",2024,0.947979797979798
"REGION1","DEMTRADSL",2025,0.943535353535354
"REGION1","DEMTRADSL",2026,0.941313131313131
"REGION1","DEMTRADSL",2027,0.94010101010101
"REGION1","DEMTRADSL",2028,0.933838383838384
"REGION1","DEMTRADSL",2029,0.928181818181818
"REGION1","DEMTRADSL",2030,0.923939393939394
"REGION1","DEMTRADSL",2031,0.919191919191919
"REGION1","DEMTRADSL",2032,0.911010101010101
"REGION1","DEMTRADSL",2033,0.905252525252524
"REGION1","DEMTRADSL",2034,0.898585858585859
"REGION1","DEMTRADSL",2035,0.891818181818182
"REGION1","DEMTRADSL",2036,0.87939393939394
"REGION1","DEMTRADSL",2037,0.873131313131313
"REGION1","DEMTRADSL",2038,0.867272727272727
"REGION1","DEMTRADSL",2039,0.861818181818182
"REGION1","DEMTRADSL",2040,0.857171717171717
"REGION1","DEMTRADSL",2041,0.850343434343434
"REGION1","DEMTRADSL",2042,0.843878787878788
"REGION1","DEMTRADSL",2043,0.837404040404041
