r,l,f,y,Demand
"REGION1","SEA1D","COMELCB02",2030,9.843
"REGION1","SEA1D","COMELCB02",2031,9.927
"REGION1","SEA1D","COMELCB02",2032,10.0095
"REGION1","SEA1D","COMELCB02",2033,10.1115
"REGION1","SEA1D","COMELCB02",2034,10.1775
"REGION1","SEA1D","COMELCB02",2035,10.2405
"REGION1","SEA1D","COMELCB02",2036,10.3035
"REGION1","SEA1D","COMELCB02",2037,10.3605
"REGION1","SEA1D","COMELCB02",2038,10.431
"REGION1","SEA1D","COMELCB02",2039,10.494
"REGION1","SEA1D","COMELCB02",2040,10.56
"REGION1","SEA1D","COMELCB02",2041,10.64565
"REGION1","SEA1D","COMELCB02",2042,10.71615
"REGION1","SEA1D","COMELCB02",2043,10.7865
"REGION1","SEA1D","COMELCB02",2044,10.85685
"REGION1","SEA1D","COMELCB02",2045,10.9272
"REGION1","SEA1D","COMELCB02",2046,10.99755
"REGION1","SEA1D","COMELCB02",2047,11.06805
"REGION1","SEA1D","COMELCB02",2048,11.1384
"REGION1","SEA1D","COMELCB02",2049,11.20875
"REGION1","SEA1D","COMELCB02",2050,11.2791
"REGION1","SEA1D","AGRDSL",2020,0
"REGION1","SEA1D","AGRDSL",2021,0
"REGION1","SEA1D","AGRDSL",2022,0
"REGION1","SEA1D","AGRDSL",2023,0
"REGION1","SEA1D","AGRDSL",2024,0
"REGION1","SEA1D","AGRDSL",2025,0
"REGION1","SEA1D","AGRDSL",2026,0
"REGION1","SEA1D","AGRDSL",2027,0
"REGION1","SEA1D","AGRDSL",2028,0
"REGION1","SEA1D","AGRDSL",2029,0
"REGION1","SEA1D","AGRDSL",2030,0
"REGION1","SEA1D","AGRDSL",2031,0
"REGION1","SEA1D","AGRDSL",2032,0
"REGION1","SEA1D","AGRDSL",2033,0
"REGION1","SEA1D","AGRDSL",2034,0
"REGION1","SEA1D","AGRDSL",2035,0
"REGION1","SEA1D","AGRDSL",2036,0
"REGION1","SEA1D","AGRDSL",2037,0
"REGION1","SEA1D","AGRDSL",2038,0
"REGION1","SEA1D","AGRDSL",2039,0
"REGION1","SEA1D","AGRDSL",2040,0
"REGION1","SEA1D","AGRDSL",2041,0
"REGION1","SEA1D","AGRDSL",2042,0
"REGION1","SEA1D","AGRDSL",2043,0
"REGION1","SEA1D","AGRDSL",2044,0
"REGION1","SEA1D","AGRDSL",2045,0
"REGION1","SEA1D","AGRDSL",2046,0
"REGION1","SEA1D","AGRDSL",2047,0
"REGION1","SEA1D","AGRDSL",2048,0
"REGION1","SEA1D","AGRDSL",2049,0
"REGION1","SEA1D","AGRDSL",2050,0
"REGION1","SEA1D","AGRNGS",2020,0
"REGION1","SEA1D","AGRNGS",2021,0
"REGION1","SEA1D","AGRNGS",2022,0
"REGION1","SEA1D","AGRNGS",2023,0
"REGION1","SEA1D","AGRNGS",2024,0
"REGION1","SEA1D","AGRNGS",2025,0
"REGION1","SEA1D","AGRNGS",2026,0
"REGION1","SEA1D","AGRNGS",2027,0
"REGION1","SEA1D","AGRNGS",2028,0
"REGION1","SEA1D","AGRNGS",2029,0
"REGION1","SEA1D","AGRNGS",2030,0
"REGION1","SEA1D","AGRNGS",2031,0
"REGION1","SEA1D","AGRNGS",2032,0
"REGION1","SEA1D","AGRNGS",2033,0
"REGION1","SEA1D","AGRNGS",2034,0
"REGION1","SEA1D","AGRNGS",2035,0
"REGION1","SEA1D","AGRNGS",2036,0
"REGION1","SEA1D","AGRNGS",2037,0
"REGION1","SEA1D","AGRNGS",2038,0
"REGION1","SEA1D","AGRNGS",2039,0
"REGION1","SEA1D","AGRNGS",2040,0
"REGION1","SEA1D","AGRNGS",2041,0
"REGION1","SEA1D","AGRNGS",2042,0
"REGION1","SEA1D","AGRNGS",2043,0
"REGION1","SEA1D","AGRNGS",2044,0
"REGION1","SEA1D","AGRNGS",2045,0
"REGION1","SEA1D","AGRNGS",2046,0
"REGION1","SEA1D","AGRNGS",2047,0
"REGION1","SEA1D","AGRNGS",2048,0
"REGION1","SEA1D","AGRNGS",2049,0
"REGION1","SEA1D","AGRNGS",2050,0
"REGION1","SEA1D","AGRELCB02",2020,0
