project_name,connecting_node_code,Province,generation_type,installed_capacity,capacity_adjustment,effective_capacity,capacity_factor,annual_avg_energy,num_of_units,avg_unit_capacity,renewal_year,dam_type,penstock,rated_head,maximum_head,minimum_head,average_flow,rated_discharge_unit,rated_discharge_facility,upstream_reservoir_area,upstream_reservoir_storage,turbine_type,station_flow,lower_storage_name,lower_storage_level,upper_storage_name,upper_storage_level,max_live_storage,minimum_level,maximum_level,initial_level,low_ref_level,high_ref_level,low_volume,high_volume,live_storage,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,other_references,Notes
Units,,,,(MW),(%),(MW),(%),(GWh/year),,,,,(m),(m),(m),(m),(m3/s),(m3/s),(m3/s),(km2),(hours),,(WSC#),,(WSC#),,(WSC#),,(m),(m),(m),(m),(m),(m3),(m3),(m3),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),,
Aguasabon,ON_AGU_SWS,ON,hydro_daily,52,0.684308313,35.58403228,0.629265455,286.643,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnprior Hydro,ON_ARN_GSS,ON,hydro_daily,82,0.684308313,56.11328166,0.211428054,151.873,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aubrey Falls,ON_AUB_GSS,ON,hydro_daily,146,0.684308313,99.9090137,0.131306687,167.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chats Falls,ON_CHF_SWS,ON,hydro_daily,200,0.684308313,136.8616626,0.619327626,1085.062,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenaux,ON_CHX_TSS,ON,hydro_daily,158,0.684308313,108.1207135,0.490647939,679.096,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decew Falls 1,ON_DEC_SWS,ON,hydro_daily,144,0.684308313,98.54039707,0.465421265,587.101,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Des-Joachims,ON_DEJ_TSS,ON,hydro_daily,475,0.684308313,325.0464487,0.511855804,2129.832,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harmon_01,ON_HRJ_GSS,ON,hydro_daily,156,0.684308313,106.7520968,0.256378059,540.086,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operated as separate facilities
Harmon_02,ON_HRJ_GSS,ON,hydro_daily,78,0.684308313,53.37604841,0.277675331,189.73,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operated as separate facilities
Hollingsworth,ON_HGW_DSS,ON,hydro_daily,23,0.684308313,15.7390912,0.546773873,110.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iroquois Falls Hydro,ON_IQF_DSS,ON,hydro_daily,29.7,0.684308313,20.3239569,0.580099872,150.9257438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Island Falls-ON,ON_ISF_GSS,ON,hydro_daily,44.3,0.684308313,30.31485827,0.580099872,225.118197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kipling_01,ON_KPG_GSS,ON,hydro_daily,166,0.684308313,113.59518,0.228202536,331.843,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operated as separate facilities
Kipling_02,ON_KPG2_GSS,ON,hydro_daily,79,0.684308313,54.06035673,0.225765852,156.239,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operated as separate facilities
Little Long_01,ON_LLG_SWS,ON,hydro_daily,144,0.684308313,98.54039707,0.158319064,199.71,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operated as separate facilities
Little Long_02,ON_LLG_SWS,ON,hydro_daily,75,0.684308313,51.32312347,0.295307458,194.017,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operated as separate facilities
Lower Notch,ON_LWN_GSS,ON,hydro_daily,274,0.684308313,187.5004778,0.135466037,325.151,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacKay,ON_MKY_DSS,ON,hydro_daily,62,0.684308313,42.42711541,0.463978495,251.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mission,ON_MSF_GSS,ON,hydro_daily,15,0.684308313,10.26462469,0.363333333,47.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Chute,ON_MTC_GSS,ON,hydro_daily,173,0.684308313,118.3853381,0.201819885,305.854,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otter Rapids,ON_ORP_GSS,ON,hydro_daily,189,0.684308313,129.3342712,0.26947706,446.157,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto Holden,ON_OTH_DSS,ON,hydro_daily,265,0.684308313,181.3417029,0.471912639,1095.498,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine Portage,ON_PPT_SWS,ON,hydro_daily,151,0.684308313,103.3305553,0.359285131,475.248,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rayner,ON_RNR_GSS,ON,hydro_daily,42,0.684308313,28.74094915,0.316133942,116.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Rock Falls,ON_RRC_GSS,ON,hydro_daily,37,0.684308313,25.31940758,0.58792114,190.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoky Falls,ON_SKF_GSS,ON,hydro_daily,264,0.684308313,180.6573946,0.262513837,607.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stewartville,ON_STW_DSS,ON,hydro_daily,186,0.684308313,127.2813462,0.181893504,296.37,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twin Falls H2O,ON_IQF_DSS,ON,hydro_daily,27.5,0.684308313,18.81847861,0.580099872,139.7460591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wells,ON_WEL_GSS,ON,hydro_daily,220,0.684308313,150.5478289,0.13264944,255.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaumont,QC_BMT_GSS,QC,hydro_daily,270,0.981,264.87,0.65,1537.38,6,45,,,,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bersimis-1,QC_BS1_GSS,QC,hydro_monthly,1178,0.981,1155.618,0.65,6707.532,8,147.25,,,,266.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bersimis-2,QC_BS2_GSS,QC,hydro_daily,845,0.981,828.945,0.65,4811.43,5,169,,,,115.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisay,QC_BSY_GSS,QC,hydro_monthly,469,0.981,460.089,0.65,2670.486,2,234.5,,,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chute-à-Caron,QC_CAC_GSS,QC,hydro_daily,222,0.981,217.782,0.65,1264.068,,,,,,48.8,,,,,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chute-à-la-Savane,QC_CAS_GSS,QC,hydro_daily,245,0.981,240.345,0.65,1395.03,,,,,,33.5,,,,,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chute-des-Passes,QC_CDP_DSS,QC,hydro_daily,833,0.981,817.173,0.65,4743.102,,,,,,195.1,,,,,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
