"Scenario","Region","Variable","Year","Value","Sector"
"Canada Net-zero","Alberta","Diesel","2042","45.590600","Transportation"
"Canada Net-zero","Alberta","Diesel","2043","39.923500","Transportation"
"Canada Net-zero","Alberta","Diesel","2044","34.885800","Transportation"
"Canada Net-zero","Alberta","Diesel","2045","30.401000","Transportation"
"Canada Net-zero","Alberta","Diesel","2046","26.442700","Transportation"
"Canada Net-zero","Alberta","Diesel","2047","23.048300","Transportation"
"Canada Net-zero","Alberta","Diesel","2048","20.151700","Transportation"
"Canada Net-zero","Alberta","Diesel","2049","17.688000","Transportation"
"Canada Net-zero","Alberta","Diesel","2050","15.600900","Transportation"
"Canada Net-zero","Alberta","Electricity","2005","44.066100","Commercial"
"Canada Net-zero","Alberta","Electricity","2005","131.103100","Industrial"
"Canada Net-zero","Alberta","Electricity","2005","27.677700","Residential"
"Canada Net-zero","Alberta","Electricity","2005","203.388900","Total End-Use"
"Canada Net-zero","Alberta","Electricity","2005","0.542000","Transportation"
"Canada Net-zero","Alberta","Electricity","2006","48.721900","Commercial"
"Canada Net-zero","Alberta","Electricity","2006","143.333200","Industrial"
"Canada Net-zero","Alberta","Electricity","2006","29.317500","Residential"
"Canada Net-zero","Alberta","Electricity","2006","221.736600","Total End-Use"
"Canada Net-zero","Alberta","Electricity","2006","0.364000","Transportation"
"Canada Net-zero","Alberta","Electricity","2007","47.589900","Commercial"
"Canada Net-zero","Alberta","Electricity","2007","138.500800","Industrial"
"Canada Net-zero","Alberta","Electricity","2007","30.498600","Residential"
"Canada Net-zero","Alberta","Electricity","2007","217.030300","Total End-Use"
"Canada Net-zero","Alberta","Electricity","2007","0.441000","Transportation"
"Canada Net-zero","Alberta","Electricity","2008","49.778800","Commercial"
"Canada Net-zero","Alberta","Electricity","2008","130.469600","Industrial"
"Canada Net-zero","Alberta","Electricity","2008","31.387300","Residential"
"Canada Net-zero","Alberta","Electricity","2008","211.955700","Total End-Use"
"Canada Net-zero","Alberta","Electricity","2008","0.320000","Transportation"
"Canada Net-zero","Alberta","Electricity","2009","59.701100","Commercial"
"Canada Net-zero","Alberta","Electricity","2009","128.561500","Industrial"
"Canada Net-zero","Alberta","Electricity","2009","32.337400","Residential"
"Canada Net-zero","Alberta","Electricity","2009","220.946000","Total End-Use"
"Canada Net-zero","Alberta","Electricity","2009","0.346000","Transportation"
"Canada Net-zero","Alberta","Electricity","2010","58.357000","Commercial"
"Canada Net-zero","Alberta","Electricity","2010","129.262900","Industrial"
"Canada Net-zero","Alberta","Electricity","2010","31.685300","Residential"
